Lastname,Firstname,Title,Sex,Series,Rating,Published,Finished,Owned
Aldiss, Brian W.,Hothouse,M,,3,1962,,0
Ballard, J.G.,The Drowned World,M,,4,1962,,0
Borges, Jorge Luis,Labyrinths: Selected Stories and Other Writings,M,,4,1962,,1
Burgess, Anthony,A Clockwork Orange,M,,4,1962,,1
Dick, Philip K.,The Man in the High Castle,M,,1,1962,,0
Kesey, Ken,One Flew Over the Cuckoo's Nest,M,,4,1962,,1
Heller, Joseph,Catch 22,M,,4,1961,,1
Calvino, Italo,Our Ancestors,M,,4,1960,,0
Albee, Edward,The American Dream & The Zoo Story,M,,4,1959,,0
Vonnegut, Kurt,The Sirens of Titan,M,,3,1959,,0
Aldiss, Brian W.,Non-Stop,M,,4,1958,,0
Greene, Graham,Our Man in Havana,M,,4,1958,,0
Dick, Philip K.,The World Jones Made,M,,3,1956,,0
Murdoch, Iris,The Flight from the Enchanter,F,,5,1956,,0
Graves, Robert,The Greek Myths 1,M,,0,1955,,1
Greene, Graham,The Quiet American,M,,4,1955,,0
Tolkien, J.R.R.,The Lord of the Rings ,M,,3,1955,,1
Williams, Tennessee,Cat on a Hot Tin Roof,M,,4,1955,,0
Amis, Kingsley,Lucky Jim,M,,4,1954,,0
Golding, William,Lord of the Flies,M,,3,1954,,1
Bradbury, Ray,Fahrenheit 451,M,,3,1953,,1
Vonnegut, Kurt,Player Piano,M,,4,1952,,1
Waugh, Evelyn,Men at Arms ,M,,3,1952,,0
Greene, Graham,The End of the Affair,M,,1,1951,,0
Salinger, J.D.,The Catcher in the Rye,M,,3,1951,,0
Wyndham, John,The Day of the Triffids,M,,3,1951,,0
Miller, Arthur,Death of a Salesman,M,,0,1949,,0
Orwell, George,1984,M,,4,1949,,1
Greene, Graham,The Third Man,M,,4,1948,,0
Calvino, Italo,The Path to the Spiders' Nests,M,,2,1947,,0
Miller, Arthur,All My Sons,M,,0,1947,,0
Orwell, George,Animal Farm,M,,4,1945,,0
Williams, Tennessee,The Glass Menagerie,M,,5,1945,,0
Lewis, C.S.,The Screwtape Letters,M,,0,1942,,1
O'Neill, Eugene,Long Day's Journey Into Night,M,,4,1941,,0
Greene, Graham,The Power and the Glory,M,,4,1940,,1
Greene, Graham,Brighton Rock,M,,0,1938,,0
Maurier, Daphne du,Rebecca,F,,3,1938,,0
Waugh, Evelyn,Scoop,M,,4,1937,,0
Buchan, John,The Island Of Sheep,M,,0,1936,,0
Orwell, George,Down and Out in Paris and London,M,,4,1933,,0
Buchan, John,The Gap In The Curtain,M,,0,1932,,1
Greene, Graham,Orient Express,M,,0,1932,,0
Hammett, Dashiell,The Glass Key,M,,3,1931,,1
Huxley, Aldous,Brave New World,M,,3,1931,,1
Mitford, Nancy,Highland Fling,F,,3,1931,,1
Hammett, Dashiell,The Maltese Falcon,M,,4,1930,,1
Waugh, Evelyn,Vile Bodies,M,,3,1930,,0
Hammett, Dashiell,The Dain Curse,M,,3,1929,,1
Hammett, Dashiell,Red Harvest,M,,2,1929,,1
Waugh, Evelyn,Decline and Fall,M,,3,1928,,0
Doyle, Arthur Conan,The Complete Sherlock Holmes,M,,0,1927,,1
Wells, H.G.,The Complete Short Stories,M,,3,1927,,1
Bulgakov, Mikhail,The Fatal Eggs,M,,3,1925,,0
Fitzgerald, F. Scott,The Great Gatsby,M,,5,1925,,1
Kafka, Franz,The Trial,M,,2,1925,,0
Woolf, Virginia,Mrs. Dalloway,F,,2,1925,,0
Forster, E.M.,A Passage to India,M,,4,1924,,1
Buchan, John,Huntingtower,M,,0,1922,,0
Conrad, Joseph,Victory,M,,4,1915,,1
Conrad, Joseph,The Shadow-Line,M,,3,1915,,0
Ford, Ford Madox,The Good Soldier,M,,2,1915,,0
Joyce, James,Dubliners,M,,3,1914,,0
Buchan, John,Prester John,M,,0,1910,,0
Chesterton, G.K.,The Complete Father Brown Stories,M,,5,1910,,1
Conrad, Joseph,The Secret Sharer,M,,3,1910,,0
Chesterton, G.K.,The Man Who Was Thursday: A Nightmare,M,,4,1908,,1
Conrad, Joseph,The Secret Agent,M,,4,1907,,0
Wilde, Oscar,Complete Works of Oscar Wilde,M,,4,1907,,1
Conrad, Joseph,Lord Jim,M,,5,1900,,1
Conrad, Joseph,Heart of Darkness,M,,5,1899,,1
Wells, H.G.,When the Sleeper Wakes,M,,0,1899,,0
Wells, H.G.,The War of the Worlds,M,,3,1898,,0
Stoker, Bram,Dracula,M,,4,1897,,1
Wells, H.G.,The Invisible Man,M,,3,1897,,0
Wells, H.G.,The Island of Dr. Moreau,M,,4,1896,,0
Wells, H.G.,The Time Machine,M,,3,1895,,1
Machen, Arthur,The Great God Pan,M,,2,1894,,0
Morris, William,News from Nowhere,M,,3,1890,,0
Wilde, Oscar,The Picture of Dorian Gray,M,,4,1890,,0
Haggard, H. Rider,Allan Quatermain,M,,0,1887,,0
Haggard, H. Rider,She ,M,,0,1886,,1
Stevenson, Robert Louis,The Strange Case of Dr. Jekyll and Mr. Hyde,M,,3,1886,,0
Haggard, H. Rider,King Solomon's Mines,M,,0,1885,,1
Dostoyevsky, Fyodor,The Brothers Karamazov,M,,4,1880,,1
Butler, Samuel,Erewhon ,M,,3,1872,,0
Fanu, J. Sheridan Le,Carmilla,M,,4,1872,,0
Bulwer-Lytton, Edward,The Coming Race,M,,2,1871,,0
Dostoyevsky, Fyodor,The Idiot,M,,4,1869,,1
Dostoyevsky, Fyodor,Crime and Punishment,M,,4,1866,,1
Carroll, Lewis,Alice's Adventures in Wonderland and Through the Looking-Glass,M,,3,1865,,1
Fanu, J. Sheridan Le,Uncle Silas,M,,3,1864,,0
Dickens, Charles,Great Expectations,M,,0,1861,,1
Collins, Wilkie,The Woman in White,M,,2,1859,,0
Flaubert, Gustave,Madame Bovary,M,,4,1856,,1
Dickens, Charles,Hard Times,M,,0,1854,,1
Bronte, Emily,Wuthering Heights,F,,4,1847,,1
Gogol, Nikolai,Dead Souls,M,,3,1842,,0
Peacock, Thomas Love,Nightmare Abbey & Crotchet Castle,M,,4,1830,,
Quincey, Thomas de,Confessions of an English Opium Eater,M,,4,1821,,0
Austen, Jane,Persuasion,F,,3,1818,,0
Shelley, Mary,Frankenstein,F,,4,1818,,1
Austen, Jane,Northanger Abbey,F,,4,1817,,0
Scott, Walter,Old Mortality,M,,0,1816,,0
Scott, Walter,Waverley,M,,0,1814,,0
Austen, Jane,Pride and Prejudice,F,,4,1813,,0
Lewis, Matthew Gregory,The Monk,M,,2,1796,,1
Beckford, William,Vathek,M,,3,1786,,0
Bunyan, John,The Pilgrim's Progress,M,,4,1678,,1
Bacon, Francis,The New Atlantis,M,,3,1624,,0
Marlowe, Christopher,The Complete Plays,M,,5,1592,,1
Malory, Thomas,Le Morte d'Arthur: King Arthur and the Legends of the Round Table,M,,4,1485,,1
